Date,GEO,MEASURES,Value
2011,Newfoundland and Labrador,Household income per capita,36057.3
2012,Newfoundland and Labrador,Household income per capita,38347.9
2013,Newfoundland and Labrador,Household income per capita,40481.1
1926,Prince Edward Island,Household income per capita,229.9
1927,Prince Edward Island,Household income per capita,241.4
1928,Prince Edward Island,Household income per capita,238.6
1929,Prince Edward Island,Household income per capita,261.4
1930,Prince Edward Island,Household income per capita,215.9
1931,Prince Edward Island,Household income per capita,170.5
1932,Prince Edward Island,Household income per capita,146.1
1933,Prince Edward Island,Household income per capita,133.3
1934,Prince Edward Island,Household income per capita,142.9
1935,Prince Edward Island,Household income per capita,163
1936,Prince Edward Island,Household income per capita,172
1937,Prince Edward Island,Household income per capita,204.3
1938,Prince Edward Island,Household income per capita,191.5
1939,Prince Edward Island,Household income per capita,212.8
1940,Prince Edward Island,Household income per capita,221.1
1941,Prince Edward Island,Household income per capita,231.6
1942,Prince Edward Island,Household income per capita,300
1943,Prince Edward Island,Household income per capita,351.6
1944,Prince Edward Island,Household income per capita,384.6
1945,Prince Edward Island,Household income per capita,423.9
1946,Prince Edward Island,Household income per capita,446.8
1947,Prince Edward Island,Household income per capita,457.4
1948,Prince Edward Island,Household income per capita,505.4
1949,Prince Edward Island,Household income per capita,553.2
1950,Prince Edward Island,Household income per capita,562.5
1951,Prince Edward Island,Household income per capita,642.9
1952,Prince Edward Island,Household income per capita,760
1953,Prince Edward Island,Household income per capita,633.7
1954,Prince Edward Island,Household income per capita,653.5
1955,Prince Edward Island,Household income per capita,660
1956,Prince Edward Island,Household income per capita,848.5
1957,Prince Edward Island,Household income per capita,757.6
1958,Prince Edward Island,Household income per capita,810
1959,Prince Edward Island,Household income per capita,920.8
1960,Prince Edward Island,Household income per capita,912.6
1961,Prince Edward Island,Household income per capita,971.2
1962,Prince Edward Island,Household income per capita,1018.7
1963,Prince Edward Island,Household income per capita,1064.8
1964,Prince Edward Island,Household income per capita,1174.3
1965,Prince Edward Island,Household income per capita,1284.4
1966,Prince Edward Island,Household income per capita,1463
1967,Prince Edward Island,Household income per capita,1513.8
1968,Prince Edward Island,Household income per capita,1627.3
1969,Prince Edward Island,Household income per capita,1783.8
1970,Prince Edward Island,Household income per capita,2036.4
1971,Prince Edward Island,Household income per capita,2081.1
1972,Prince Edward Island,Household income per capita,2433.6
1973,Prince Edward Island,Household income per capita,3000
1974,Prince Edward Island,Household income per capita,3569
1975,Prince Edward Island,Household income per capita,3940.2
1976,Prince Edward Island,Household income per capita,4678
1977,Prince Edward Island,Household income per capita,5033.6
1978,Prince Edward Island,Household income per capita,5768.6
1979,Prince Edward Island,Household income per capita,6319.7
1980,Prince Edward Island,Household income per capita,6878
1981,Prince Edward Island,Household income per capita,8089.4
1982,Prince Edward Island,Household income per capita,9463.4
1983,Prince Edward Island,Household income per capita,10064.5
1984,Prince Edward Island,Household income per capita,10571.4
1985,Prince Edward Island,Household income per capita,11291.3
1986,Prince Edward Island,Household income per capita,12406.3
1987,Prince Edward Island,Household income per capita,13240.3
1988,Prince Edward Island,Household income per capita,14550.4
1989,Prince Edward Island,Household income per capita,15469.2
1990,Prince Edward Island,Household income per capita,16492.3
1991,Prince Edward Island,Household income per capita,16984.6
1992,Prince Edward Island,Household income per capita,17458
1993,Prince Edward Island,Household income per capita,18136.4
1994,Prince Edward Island,Household income per capita,18112.8
1995,Prince Edward Island,Household income per capita,18649.3
1996,Prince Edward Island,Household income per capita,19066.7
1997,Prince Edward Island,Household income per capita,19264.7
1998,Prince Edward Island,Household income per capita,19926.5
1999,Prince Edward Island,Household income per capita,20889.7
2000,Prince Edward Island,Household income per capita,22088.2
2001,Prince Edward Island,Household income per capita,22595.6
2002,Prince Edward Island,Household income per capita,23839.4
2003,Prince Edward Island,Household income per capita,24292
2004,Prince Edward Island,Household income per capita,24826.1
2005,Prince Edward Island,Household income per capita,25847.8
2006,Prince Edward Island,Household income per capita,27137.7
2007,Prince Edward Island,Household income per capita,28587
2008,Prince Edward Island,Household income per capita,30000
2009,Prince Edward Island,Household income per capita,30762.6
2010,Prince Edward Island,Household income per capita,31624.1
2011,Prince Edward Island,Household income per capita,32531.5
2012,Prince Edward Island,Household income per capita,33455.2
2013,Prince Edward Island,Household income per capita,34048.3
1926,Nova Scotia,Household income per capita,304.9
1927,Nova Scotia,Household income per capita,312.6
1928,Nova Scotia,Household income per capita,339.8
1929,Nova Scotia,Household income per capita,349.5
1930,Nova Scotia,Household income per capita,332.7
1931,Nova Scotia,Household income per capita,282.7
1932,Nova Scotia,Household income per capita,227.4
1933,Nova Scotia,Household income per capita,219
1934,Nova Scotia,Household income per capita,235.4
1935,Nova Scotia,Household income per capita,253.7
1936,Nova Scotia,Household income per capita,274.4
1937,Nova Scotia,Household income per capita,307.8
1938,Nova Scotia,Household income per capita,304.5
1939,Nova Scotia,Household income per capita,310.2
1940,Nova Scotia,Household income per capita,355
1941,Nova Scotia,Household income per capita,420.4
1942,Nova Scotia,Household income per capita,514.4
1943,Nova Scotia,Household income per capita,584.2
1944,Nova Scotia,Household income per capita,628.5
1945,Nova Scotia,Household income per capita,654.3
1946,Nova Scotia,Household income per capita,723.7
1947,Nova Scotia,Household income per capita,733.3
1948,Nova Scotia,Household income per capita,744
1949,Nova Scotia,Household income per capita,783.8
1950,Nova Scotia,Household income per capita,818.2
1951,Nova Scotia,Household income per capita,875.6
1952,Nova Scotia,Household income per capita,980
1953,Nova Scotia,Household income per capita,1016.6
1954,Nova Scotia,Household income per capita,1047.8
1955,Nova Scotia,Household income per capita,1060.2
1956,Nova Scotia,Household income per capita,1116.9
1957,Nova Scotia,Household income per capita,1187.7
1958,Nova Scotia,Household income per capita,1226.3
1959,Nova Scotia,Household income per capita,1286.9
1960,Nova Scotia,Household income per capita,1342.1
1961,Nova Scotia,Household income per capita,1351
1962,Nova Scotia,Household income per capita,1400.5
1963,Nova Scotia,Household income per capita,1463.3
1964,Nova Scotia,Household income per capita,1551.1
1965,Nova Scotia,Household income per capita,1657.8
1966,Nova Scotia,Household income per capita,1821.2
1967,Nova Scotia,Household income per capita,2004
1968,Nova Scotia,Household income per capita,2166
1969,Nova Scotia,Household income per capita,2378.6
1970,Nova Scotia,Household income per capita,2529.5
1971,Nova Scotia,Household income per capita,2770.3
1972,Nova Scotia,Household income per capita,3168.5
1973,Nova Scotia,Household income per capita,3661.7
1974,Nova Scotia,Household income per capita,4324.4
1975,Nova Scotia,Household income per capita,4937
1976,Nova Scotia,Household income per capita,5491.6
1977,Nova Scotia,Household income per capita,6084.6
1978,Nova Scotia,Household income per capita,6798.6
1979,Nova Scotia,Household income per capita,7500
1980,Nova Scotia,Household income per capita,8160.8
1981,Nova Scotia,Household income per capita,9352.5
1982,Nova Scotia,Household income per capita,10454.5
1983,Nova Scotia,Household income per capita,11172.1
1984,Nova Scotia,Household income per capita,12030.8
1985,Nova Scotia,Household income per capita,13059.9
1986,Nova Scotia,Household income per capita,13726.4
1987,Nova Scotia,Household income per capita,14701.8
1988,Nova Scotia,Household income per capita,15850.4
1989,Nova Scotia,Household income per capita,16829.1
1990,Nova Scotia,Household income per capita,17856.8
1991,Nova Scotia,Household income per capita,18464.4
1992,Nova Scotia,Household income per capita,18957.5
1993,Nova Scotia,Household income per capita,19331.9
1994,Nova Scotia,Household income per capita,19450.3
1995,Nova Scotia,Household income per capita,19774.8
1996,Nova Scotia,Household income per capita,19749.5
1997,Nova Scotia,Household income per capita,20237.1
1998,Nova Scotia,Household income per capita,21220
1999,Nova Scotia,Household income per capita,22563.3
2000,Nova Scotia,Household income per capita,23418.6
2001,Nova Scotia,Household income per capita,24160.8
2002,Nova Scotia,Household income per capita,25064.2
2003,Nova Scotia,Household income per capita,25777.8
2004,Nova Scotia,Household income per capita,26592.1
2005,Nova Scotia,Household income per capita,28017.1
2006,Nova Scotia,Household income per capita,29183.4
2007,Nova Scotia,Household income per capita,30519.8
2008,Nova Scotia,Household income per capita,31794.9
2009,Nova Scotia,Household income per capita,32544.3
2010,Nova Scotia,Household income per capita,33368.8
2011,Nova Scotia,Household income per capita,34905.7
2012,Nova Scotia,Household income per capita,35145
2013,Nova Scotia,Household income per capita,36058.3
1926,New Brunswick,Household income per capita,280.3
1927,New Brunswick,Household income per capita,278.9
1928,New Brunswick,Household income per capita,296.8
1929,New Brunswick,Household income per capita,302
1930,New Brunswick,Household income per capita,283.3
1931,New Brunswick,Household income per capita,237.7
1932,New Brunswick,Household income per capita,186
1933,New Brunswick,Household income per capita,174.2
1934,New Brunswick,Household income per capita,186.8
1935,New Brunswick,Household income per capita,200.9
1936,New Brunswick,Household income per capita,221.7
1937,New Brunswick,Household income per capita,249.4
1938,New Brunswick,Household income per capita,237.6
1939,New Brunswick,Household income per capita,250.6
1940,New Brunswick,Household income per capita,287.6
1941,New Brunswick,Household income per capita,332.6
1942,New Brunswick,Household income per capita,394.4
1943,New Brunswick,Household income per capita,455.7
1944,New Brunswick,Household income per capita,492.4
1945,New Brunswick,Household income per capita,546
1946,New Brunswick,Household income per capita,606.7
1947,New Brunswick,Household income per capita,631.1
1948,New Brunswick,Household income per capita,684.7
1949,New Brunswick,Household income per capita,698.8
1950,New Brunswick,Household income per capita,740.2
1951,New Brunswick,Household income per capita,814
1952,New Brunswick,Household income per capita,845.4
1953,New Brunswick,Household income per capita,849.6
1954,New Brunswick,Household income per capita,879.2
1955,New Brunswick,Household income per capita,904.8
1956,New Brunswick,Household income per capita,978.3
1957,New Brunswick,Household income per capita,1005.4
1958,New Brunswick,Household income per capita,1042.2
1959,New Brunswick,Household income per capita,1094.8
1960,New Brunswick,Household income per capita,1146.5
1961,New Brunswick,Household income per capita,1134.2
1962,New Brunswick,Household income per capita,1173.8
1963,New Brunswick,Household income per capita,1248.4
1964,New Brunswick,Household income per capita,1350.8
1965,New Brunswick,Household income per capita,1465.8
1966,New Brunswick,Household income per capita,1647.7
1967,New Brunswick,Household income per capita,1756.1
1968,New Brunswick,Household income per capita,1918.3
1969,New Brunswick,Household income per capita,2095.7
1970,New Brunswick,Household income per capita,2290.7
1971,New Brunswick,Household income per capita,2518.2
1972,New Brunswick,Household income per capita,2822.5
1973,New Brunswick,Household income per capita,3240.9
1974,New Brunswick,Household income per capita,3871.8
1975,New Brunswick,Household income per capita,4486.6
1976,New Brunswick,Household income per capita,5055.2
1977,New Brunswick,Household income per capita,5485.6
1978,New Brunswick,Household income per capita,6030.1
1979,New Brunswick,Household income per capita,6636.2
1980,New Brunswick,Household income per capita,7333.8
1981,New Brunswick,Household income per capita,8448.2
1982,New Brunswick,Household income per capita,9505.7
1983,New Brunswick,Household income per capita,10103.9
1984,New Brunswick,Household income per capita,10809.5
1985,New Brunswick,Household income per capita,11511.1
1986,New Brunswick,Household income per capita,12454.4
1987,New Brunswick,Household income per capita,13379.6
1988,New Brunswick,Household income per capita,14506.2
1989,New Brunswick,Household income per capita,15491.8
1990,New Brunswick,Household income per capita,16332.9
1991,New Brunswick,Household income per capita,16985.2
1992,New Brunswick,Household income per capita,17649.3
1993,New Brunswick,Household income per capita,18052.1
1994,New Brunswick,Household income per capita,18435.2
1995,New Brunswick,Household income per capita,18950.7
1996,New Brunswick,Household income per capita,19070.5
1997,New Brunswick,Household income per capita,19502.7
1998,New Brunswick,Household income per capita,20355.5
1999,New Brunswick,Household income per capita,21513.3
2000,New Brunswick,Household income per capita,22400.8
2001,New Brunswick,Household income per capita,22962.7
2002,New Brunswick,Household income per capita,23782.4
2003,New Brunswick,Household income per capita,24487.3
2004,New Brunswick,Household income per capita,25543.4
2005,New Brunswick,Household income per capita,26534
2006,New Brunswick,Household income per capita,27857.9
2007,New Brunswick,Household income per capita,29377.2
2008,New Brunswick,Household income per capita,30925
2009,New Brunswick,Household income per capita,31599.5
2010,New Brunswick,Household income per capita,32420.2
2011,New Brunswick,Household income per capita,33552.3
2012,New Brunswick,Household income per capita,34465.6
2013,New Brunswick,Household income per capita,35238.4
1926,Quebec,Household income per capita,333.5
1927,Quebec,Household income per capita,345.9
1928,Quebec,Household income per capita,369.1
1929,Quebec,Household income per capita,388.9
1930,Quebec,Household income per capita,361.1
1931,Quebec,Household income per capita,307.9
1932,Quebec,Household income per capita,249.9
1933,Quebec,Household income per capita,229.5
1934,Quebec,Household income per capita,250
1935,Quebec,Household income per capita,260.4
1936,Quebec,Household income per capita,278.2
1937,Quebec,Household income per capita,306.3
1938,Quebec,Household income per capita,302.2
1939,Quebec,Household income per capita,311.5
1940,Quebec,Household income per capita,344.1
1941,Quebec,Household income per capita,410
1942,Quebec,Household income per capita,482
1943,Quebec,Household income per capita,532.8
1944,Quebec,Household income per capita,553.4
1945,Quebec,Household income per capita,570.2
1946,Quebec,Household income per capita,601.3
1947,Quebec,Household income per capita,686
1948,Quebec,Household income per capita,770.6
1949,Quebec,Household income per capita,783.9
1950,Quebec,Household income per capita,826.4
1951,Quebec,Household income per capita,931.5
1952,Quebec,Household income per capita,1015.7
1953,Quebec,Household income per capita,1058.4
1954,Quebec,Household income per capita,1064.6
1955,Quebec,Household income per capita,1089.9
1956,Quebec,Household income per capita,1171.9
1957,Quebec,Household income per capita,1241.5
1958,Quebec,Household income per capita,1261.3
1959,Quebec,Household income per capita,1295.3
1960,Quebec,Household income per capita,1341.7
1961,Quebec,Household income per capita,1389.8
1962,Quebec,Household income per capita,1473.6
1963,Quebec,Household income per capita,1531.8
1964,Quebec,Household income per capita,1645.2
1965,Quebec,Household income per capita,1776.8
1966,Quebec,Household income per capita,1951.4
1967,Quebec,Household income per capita,2136.7
1968,Quebec,Household income per capita,2267.4
1969,Quebec,Household income per capita,2464.3
1970,Quebec,Household income per capita,2635.8
1971,Quebec,Household income per capita,2892.9
1972,Quebec,Household income per capita,3230.8
1973,Quebec,Household income per capita,3695.9
1974,Quebec,Household income per capita,4366.9
1975,Quebec,Household income per capita,5057.7
1976,Quebec,Household income per capita,5812.8
1977,Quebec,Household income per capita,6437.5
1978,Quebec,Household income per capita,7102.7
1979,Quebec,Household income per capita,7934.9
1980,Quebec,Household income per capita,8970.6
1981,Quebec,Household income per capita,10250.3
1982,Quebec,Household income per capita,11087.2
1983,Quebec,Household income per capita,11655.1
1984,Quebec,Household income per capita,12772.4
1985,Quebec,Household income per capita,13670.5
1986,Quebec,Household income per capita,14560.1
1987,Quebec,Household income per capita,15532
1988,Quebec,Household income per capita,16674.2
1989,Quebec,Household income per capita,17651.5
1990,Quebec,Household income per capita,18630.8
1991,Quebec,Household income per capita,19097.5
1992,Quebec,Household income per capita,19541.2
1993,Quebec,Household income per capita,19912.1
1994,Quebec,Household income per capita,20079.3
1995,Quebec,Household income per capita,20493.2
1996,Quebec,Household income per capita,20845.8
1997,Quebec,Household income per capita,21359.2
1998,Quebec,Household income per capita,22095.3
1999,Quebec,Household income per capita,23075.2
2000,Quebec,Household income per capita,24667.9
2001,Quebec,Household income per capita,25398
2002,Quebec,Household income per capita,26170.6
2003,Quebec,Household income per capita,27128.5
2004,Quebec,Household income per capita,28183.8
2005,Quebec,Household income per capita,29118.5
2006,Quebec,Household income per capita,30346
2007,Quebec,Household income per capita,31900.6
2008,Quebec,Household income per capita,32907.9
2009,Quebec,Household income per capita,33007.7
2010,Quebec,Household income per capita,33639.3
2011,Quebec,Household income per capita,34767.1
2012,Quebec,Household income per capita,35970.1
2013,Quebec,Household income per capita,36446.5
1926,Ontario,Household income per capita,474.1
1927,Ontario,Household income per capita,493.9
1928,Ontario,Household income per capita,521.4
1929,Ontario,Household income per capita,549.2
1930,Ontario,Household income per capita,513.9
1931,Ontario,Household income per capita,437.4
1932,Ontario,Household income per capita,353.3
1933,Ontario,Household income per capita,330
1934,Ontario,Household income per capita,362
1935,Ontario,Household income per capita,383.2
1936,Ontario,Household income per capita,399.1
1937,Ontario,Household income per capita,445.7
1938,Ontario,Household income per capita,445.3
1939,Ontario,Household income per capita,461.7
1940,Ontario,Household income per capita,530
1941,Ontario,Household income per capita,644.7
1942,Ontario,Household income per capita,750
1943,Ontario,Household income per capita,827.3
1944,Ontario,Household income per capita,869.5
1945,Ontario,Household income per capita,898.5
1946,Ontario,Household income per capita,897.6
1947,Ontario,Household income per capita,987.3
1948,Ontario,Household income per capita,1105
1949,Ontario,Household income per capita,1155.8
1950,Ontario,Household income per capita,1227.7
1951,Ontario,Household income per capita,1381
1952,Ontario,Household income per capita,1476.1
1953,Ontario,Household income per capita,1524.6
1954,Ontario,Household income per capita,1518.9
1955,Ontario,Household income per capita,1585
1956,Ontario,Household income per capita,1688.2
1957,Ontario,Household income per capita,1782.4
1958,Ontario,Household income per capita,1818.1
1959,Ontario,Household income per capita,1872.2
1960,Ontario,Household income per capita,1912
1961,Ontario,Household income per capita,1922.9
1962,Ontario,Household income per capita,2029.1
1963,Ontario,Household income per capita,2128.4
1964,Ontario,Household income per capita,2253.7
1965,Ontario,Household income per capita,2432.2
1966,Ontario,Household income per capita,2683.8
1967,Ontario,Household income per capita,2879.5
1968,Ontario,Household income per capita,3135.9
1969,Ontario,Household income per capita,3454.9
1970,Ontario,Household income per capita,3690.1
1971,Ontario,Household income per capita,3966.9
1972,Ontario,Household income per capita,4332.7
1973,Ontario,Household income per capita,4916.7
1974,Ontario,Household income per capita,5672.8
1975,Ontario,Household income per capita,6430.2
1976,Ontario,Household income per capita,7202
1977,Ontario,Household income per capita,7811
1978,Ontario,Household income per capita,8545.9
1979,Ontario,Household income per capita,9458.7
1980,Ontario,Household income per capita,10461.5
1981,Ontario,Household income per capita,12092.6
1982,Ontario,Household income per capita,13374.1
1983,Ontario,Household income per capita,14317.9
1984,Ontario,Household income per capita,15542.6
1985,Ontario,Household income per capita,16692.5
1986,Ontario,Household income per capita,17765.8
1987,Ontario,Household income per capita,19000
1988,Ontario,Household income per capita,20613.2
1989,Ontario,Household income per capita,21757
1990,Ontario,Household income per capita,22465.6
1991,Ontario,Household income per capita,22744.8
1992,Ontario,Household income per capita,23062.5
1993,Ontario,Household income per capita,23270.6
1994,Ontario,Household income per capita,23479.8
1995,Ontario,Household income per capita,24102.8
1996,Ontario,Household income per capita,24340
1997,Ontario,Household income per capita,25331.5
1998,Ontario,Household income per capita,26401.8
1999,Ontario,Household income per capita,27604.6
2000,Ontario,Household income per capita,29181.7
2001,Ontario,Household income per capita,29639.6
2002,Ontario,Household income per capita,29850.1
2003,Ontario,Household income per capita,30465.5
2004,Ontario,Household income per capita,31622.8
2005,Ontario,Household income per capita,32690.3
2006,Ontario,Household income per capita,34082.8
2007,Ontario,Household income per capita,35537.2
2008,Ontario,Household income per capita,36310.7
2009,Ontario,Household income per capita,36473.4
2010,Ontario,Household income per capita,37375
2011,Ontario,Household income per capita,38468.9
2012,Ontario,Household income per capita,39340.8
2013,Ontario,Household income per capita,40128.8
1926,Manitoba,Household income per capita,435.1
1927,Manitoba,Household income per capita,393.2
1928,Manitoba,Household income per capita,456.3
1929,Manitoba,Household income per capita,425.4
1930,Manitoba,Household income per capita,397.7
1931,Manitoba,Household income per capita,301.4
1932,Manitoba,Household income per capita,262.4
1933,Manitoba,Household income per capita,235.9
1934,Manitoba,Household income per capita,262.3
1935,Manitoba,Household income per capita,264.8
1936,Manitoba,Household income per capita,285.5
1937,Manitoba,Household income per capita,362.2
1938,Manitoba,Household income per capita,318.1
1939,Manitoba,Household income per capita,330.6
1940,Manitoba,Household income per capita,375
1941,Manitoba,Household income per capita,449.3
1942,Manitoba,Household income per capita,553.9
1943,Manitoba,Household income per capita,594.7
1944,Manitoba,Household income per capita,649.2
1945,Manitoba,Household income per capita,675.4
1946,Manitoba,Household income per capita,775.8
1947,Manitoba,Household income per capita,839
1948,Manitoba,Household income per capita,985.3
1949,Manitoba,Household income per capita,976.2
1950,Manitoba,Household income per capita,1000
1951,Manitoba,Household income per capita,1144.3
1952,Manitoba,Household income per capita,1201.5
1953,Manitoba,Household income per capita,1189.8
1954,Manitoba,Household income per capita,1157.5
1955,Manitoba,Household income per capita,1212.7
1956,Manitoba,Household income per capita,1345.5
1957,Manitoba,Household income per capita,1351.6
1958,Manitoba,Household income per capita,1466.7
1959,Manitoba,Household income per capita,1513.5
1960,Manitoba,Household income per capita,1565.9
1961,Manitoba,Household income per capita,1483.1
1962,Manitoba,Household income per capita,1647.4
1963,Manitoba,Household income per capita,1650.5
1964,Manitoba,Household income per capita,1772.2
1965,Manitoba,Household income per capita,1878.6
1966,Manitoba,Household income per capita,2021.8
1967,Manitoba,Household income per capita,2266.4
1968,Manitoba,Household income per capita,2483.5
1969,Manitoba,Household income per capita,2619.2
1970,Manitoba,Household income per capita,2771.7
1971,Manitoba,Household income per capita,3020.3
1972,Manitoba,Household income per capita,3318
1973,Manitoba,Household income per capita,3927.4
1974,Manitoba,Household income per capita,4545.8
1975,Manitoba,Household income per capita,5246.6
1976,Manitoba,Household income per capita,5730.1
1977,Manitoba,Household income per capita,6247.1
1978,Manitoba,Household income per capita,6944.2
1979,Manitoba,Household income per capita,7604.6
1980,Manitoba,Household income per capita,8350.1
1981,Manitoba,Household income per capita,10192.3
1982,Manitoba,Household income per capita,11422.3
1983,Manitoba,Household income per capita,11704.5
1984,Manitoba,Household income per capita,13042.1
1985,Manitoba,Household income per capita,14006.5
1986,Manitoba,Household income per capita,14599.1
1987,Manitoba,Household income per capita,15115.8
1988,Manitoba,Household income per capita,16229.8
1989,Manitoba,Household income per capita,17156.8
1990,Manitoba,Household income per capita,18452.9
1991,Manitoba,Household income per capita,18693.1
1992,Manitoba,Household income per capita,19109.8
1993,Manitoba,Household income per capita,19473.1
1994,Manitoba,Household income per capita,19822.5
1995,Manitoba,Household income per capita,20325.6
1996,Manitoba,Household income per capita,20668.7
1997,Manitoba,Household income per capita,21087.1
1998,Manitoba,Household income per capita,22017.6
1999,Manitoba,Household income per capita,22779.1
2000,Manitoba,Household income per capita,23738.2
2001,Manitoba,Household income per capita,24309.6
2002,Manitoba,Household income per capita,25016.5
2003,Manitoba,Household income per capita,25629.6
2004,Manitoba,Household income per capita,26663.2
2005,Manitoba,Household income per capita,27549.7
2006,Manitoba,Household income per capita,29033.8
2007,Manitoba,Household income per capita,30736.1
2008,Manitoba,Household income per capita,32125.5
2009,Manitoba,Household income per capita,32444.4
2010,Manitoba,Household income per capita,32905.5
2011,Manitoba,Household income per capita,34137.5
2012,Manitoba,Household income per capita,35560.2
2013,Manitoba,Household income per capita,36461.5
1926,Saskatchewan,Household income per capita,403.2
1927,Saskatchewan,Household income per capita,413.8
1928,Saskatchewan,Household income per capita,432.7
1929,Saskatchewan,Household income per capita,285.4
1930,Saskatchewan,Household income per capita,242.5
1931,Saskatchewan,Household income per capita,147.5
1932,Saskatchewan,Household income per capita,148.3
1933,Saskatchewan,Household income per capita,117.7
1934,Saskatchewan,Household income per capita,146.6
1935,Saskatchewan,Household income per capita,181.7
1936,Saskatchewan,Household income per capita,176.2
1937,Saskatchewan,Household income per capita,149.7
1938,Saskatchewan,Household income per capita,201.3
1939,Saskatchewan,Household income per capita,272.6
1940,Saskatchewan,Household income per capita,285.6
1941,Saskatchewan,Household income per capita,282.4
1942,Saskatchewan,Household income per capita,595.5
1943,Saskatchewan,Household income per capita,476.1
1944,Saskatchewan,Household income per capita,726.1
1945,Saskatchewan,Household income per capita,595.4
1946,Saskatchewan,Household income per capita,713.1
1947,Saskatchewan,Household income per capita,720.1
